n_combination,best_combination,best_portfolio_weights,max_return,timestamp
25,"('BKR', 'EG', 'DHI', 'TMUS', 'CF', 'MPC', 'SNPS', 'OXY', 'GL', 'NUE', 'CVX', 'LLY', 'PGR', 'CAH', 'HAL', 'PXD', 'ACGL', 'PANW', 'NOC', 'PKG', 'FICO', 'AZO', 'IR', 'AJG', 'MCK')","(0.01, 0.01, 0.010000000000000538, 0.01000000000000003, 0.010000000000000224, 0.3, 0.010000000000000217, 0.09721503364634945, 0.01, 0.010000000000000139, 0.01, 0.09278496635364888, 0.010000000000000182, 0.01, 0.01, 0.010000000000000002, 0.01, 0.01, 0.01, 0.010000000000000168, 0.3, 0.010000000000000156, 0.010000000000000146, 0.010000000000000137, 0.01)",0.426725723899178,2023-11-11 11:34:50.640014
37,"('PTC', 'CAT', 'GL', 'PH', 'PXD', 'VRTX', 'AMGN', 'EQT', 'VLO', 'CTAS', 'ACGL', 'LIN', 'WRB', 'PANW', 'HES', 'CF', 'GE', 'FSLR', 'MPC', 'IRM', 'HAL', 'LLY', 'HUBB', 'SLB', 'ORLY', 'CVX', 'PHM', 'PKG', 'CPRT', 'IR', 'NVDA', 'TJX', 'MMC', 'LMT', 'MNST', 'CI', 'FICO')","(0.005, 0.005000000000000154, 0.005, 0.005000000000001153, 0.005, 0.005000000000000012, 0.005, 0.005000000000000341, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005000000000000256, 0.005, 0.005, 0.3, 0.005, 0.005, 0.23000000000000193, 0.005, 0.005, 0.0050000000000000495, 0.00500000000000002, 0.005, 0.005, 0.0050000000000000435, 0.005, 0.005, 0.005000000000000083, 0.00500000000000004, 0.005, 0.005, 0.005, 0.3)",0.4349375055553943,2023-11-11 11:41:57.235885
45,"('LMT', 'CDNS', 'GL', 'CPRT', 'PXD', 'URI', 'HUBB', 'CBOE', 'MRO', 'PCAR', 'AVGO', 'IR', 'LW', 'ETN', 'LIN', 'NVDA', 'EOG', 'GD', 'PH', 'IRM', 'NOC', 'TDG', 'MCK', 'PHM', 'APA', 'STLD', 'TT', 'REGN', 'HII', 'PCG', 'HAL', 'MPC', 'KLAC', 'GE', 'FSLR', 'SLB', 'EQT', 'LVS', 'BKNG', 'WMB', 'HWM', 'MNST', 'MAR', 'LLY', 'LDOS')","(0.005000000000000362, 0.005, 0.0050000000000001875, 0.005000000000000199, 0.005000000000000085, 0.005000000000000226, 0.005000000000000612, 0.0050000000000000695, 0.0050000000000002065, 0.0050000000000002464, 0.0050000000000004026, 0.005000000000000426, 0.005, 0.005000000000000068, 0.005000000000000868, 0.005, 0.005000000000000103, 0.005000000000000789, 0.005000000000000686, 0.005000000000000285, 0.005000000000000381, 0.005000000000000184, 0.005, 0.005000000000000068, 0.005000000000000626, 0.005, 0.005000000000000486, 0.005, 0.005000000000000462, 0.0050000000000003, 0.005000000000000253, 0.2999999999999963, 0.005000000000000129, 0.0050000000000003, 0.005, 0.005000000000000319, 0.18999999999999795, 0.005000000000000157, 0.005, 0.005000000000000309, 0.005000000000000124, 0.0050000000000001155, 0.005, 0.2999999999999974, 0.005000000000000204)",0.4098681992387216,2023-11-11 11:53:20.507020
46,"('AJG', 'VRTX', 'MRK', 'MRO', 'VLO', 'EQT', 'FICO', 'COR', 'PCG', 'HII', 'PH', 'TAP', 'CMG', 'CPRT', 'PANW', 'AZO', 'SNA', 'CVX', 'GE', 'ORLY', 'HWM', 'PCAR', 'TDG', 'NOC', 'AXON', 'SLB', 'CTAS', 'NUE', 'IRM', 'XOM', 'GL', 'EOG', 'DHI', 'MAR', 'CAH', 'CAT', 'PWR', 'HES', 'LVS', 'STLD', 'MPC', 'LW', 'WAB', 'PKG', 'FSLR', 'REGN')","(0.005, 0.005, 0.0050000000000005726, 0.005, 0.005, 0.18499999999999947, 0.2999999999999979, 0.005000000000000143, 0.0050000000000002, 0.0050000000000001345, 0.005000000000000219, 0.005, 0.005000000000000262, 0.0050000000000002135, 0.005000000000000229, 0.005, 0.005000000000000057, 0.005000000000000102, 0.005, 0.005000000000000251, 0.005000000000000054, 0.005000000000000398, 0.005, 0.005000000000000188, 0.005000000000000014, 0.005000000000000821, 0.005000000000000084, 0.005, 0.00500000000000027, 0.005000000000000298, 0.005000000000000244, 0.005000000000000074, 0.005000000000000136, 0.005000000000000439, 0.005, 0.005, 0.005000000000000124, 0.005000000000000001, 0.005, 0.0050000000000003835, 0.29999999999999827, 0.005, 0.005, 0.005000000000000171, 0.005000000000000291, 0.005000000000000395)",0.4231251688594208,2023-11-11 11:55:03.045250
48,"('APA', 'CTAS', 'CVX', 'PANW', 'ANET', 'WRB', 'TMUS', 'LIN', 'CAT', 'LVS', 'GD', 'CTRA', 'PCAR', 'CDNS', 'PWR', 'LW', 'TRGP', 'MNST', 'LLY', 'PGR', 'MAR', 'HUBB', 'PSX', 'BKR', 'STLD', 'CI', 'CAH', 'PTC', 'LDOS', 'HES', 'KLAC', 'COR', 'ROL', 'PKG', 'FICO', 'VLO', 'CMG', 'GWW', 'COP', 'ORLY', 'IT', 'SNPS', 'REGN', 'MPC', 'PXD', 'TT', 'NUE', 'AMGN')","(0.005000000000000411, 0.005000000000000368, 0.005000000000000565, 0.005000000000000293, 0.005, 0.005, 0.005, 0.005, 0.005000000000000496, 0.005000000000000377, 0.005, 0.005, 0.0050000000000000235, 0.005000000000000133, 0.0050000000000002594, 0.005000000000000068, 0.005, 0.005000000000000151, 0.17499999999999816, 0.005000000000000112, 0.005000000000000146, 0.005, 0.005000000000000103, 0.005000000000000112, 0.005, 0.005000000000000017, 0.005, 0.005000000000000328, 0.0050000000000004294, 0.005, 0.005000000000000171, 0.005000000000000021, 0.005000000000000532, 0.005000000000000171, 0.3, 0.005, 0.0050000000000000044, 0.005, 0.00500000000000007, 0.005, 0.005000000000000015, 0.0050000000000000955, 0.005, 0.3, 0.005000000000000105, 0.005, 0.005000000000000048, 0.0050000000000000495)",0.4208941415930977,2023-11-11 11:58:52.220475
14,"('ACGL', 'BKR', 'GL', 'NUE', 'MRK', 'URI', 'BKNG', 'NOC', 'OXY', 'SNA', 'NVDA', 'PWR', 'REGN', 'FSLR')","(0.29000000000000026, 0.010000000000000273, 0.010000000000000302, 0.010000000000000108, 0.01, 0.010000000000000233, 0.010000000000000179, 0.010000000000000075, 0.2999999999999996, 0.010000000000000194, 0.29999999999999993, 0.01, 0.01, 0.009999999999999995)",0.393923373555213,2023-11-11 12:05:02.761368
21,"('NVDA', 'AJG', 'AVGO', 'HWM', 'FICO', 'LVS', 'CBOE', 'CVX', 'MPC', 'PXD', 'CMG', 'BSX', 'WAB', 'LMT', 'OXY', 'LLY', 'XOM', 'PCG', 'TT', 'GE', 'GWW')","(0.01, 0.010000000000000031, 0.01, 0.01, 0.2999999999999999, 0.01000000000000048, 0.01, 0.010000000000000158, 0.3, 0.01, 0.010000000000000255, 0.010000000000000255, 0.010000000000000361, 0.010000000000000099, 0.11708136555266316, 0.11291863444733646, 0.01, 0.01, 0.010000000000000332, 0.010000000000000148, 0.01)",0.434703579279412,2023-11-11 12:06:02.495038
15,"('SLB', 'CDNS', 'HAL', 'TDG', 'HWM', 'PGR', 'LLY', 'SNPS', 'FANG', 'CVX', 'PHM', 'IT', 'OXY', 'EG', 'HES')","(0.010000000000000168, 0.010000000000000012, 0.010000000000000085, 0.01, 0.01, 0.010000000000000097, 0.3, 0.010000000000000028, 0.0100000000000002, 0.01, 0.01, 0.010000000000000009, 0.3, 0.010000000000000071, 0.2799999999999995)",0.4207786637474877,2023-11-11 12:27:03.703148
17,"('IT', 'MPC', 'ETN', 'CTAS', 'HUBB', 'CDNS', 'CAH', 'LMT', 'CBOE', 'HES', 'COP', 'SLB', 'PCAR', 'DHI', 'WAB', 'AXON', 'HAL')","(0.010000000000000023, 0.29999999999999927, 0.010000000000000004, 0.01000000000000009, 0.01, 0.010000000000000087, 0.26000000000000056, 0.01, 0.01, 0.3, 0.010000000000000066, 0.010000000000000002, 0.010000000000000045, 0.01000000000000015, 0.010000000000000129, 0.010000000000000026, 0.010000000000000184)",0.3991533505545077,2023-11-11 12:27:16.135809
35,"('HUBB', 'ANET', 'MPC', 'VRTX', 'XOM', 'AXON', 'TRGP', 'REGN', 'SNA', 'LDOS', 'CBOE', 'FICO', 'CI', 'HAL', 'AVGO', 'PCAR', 'ORLY', 'BKNG', 'PHM', 'MSI', 'LW', 'MMC', 'DHI', 'MAR', 'PTC', 'TDG', 'ORCL', 'STLD', 'MRO', 'FANG', 'APA', 'HES', 'RCL', 'MCK', 'RSG')","(0.005, 0.005, 0.3, 0.005, 0.005, 0.005, 0.005, 0.005000000000000026, 0.005000000000000149, 0.005, 0.0050000000000000756, 0.3, 0.005, 0.005000000000000147, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005000000000000167, 0.005000000000000054, 0.005, 0.005, 0.005000000000000106, 0.005, 0.005, 0.0050000000000013645, 0.005, 0.005, 0.005, 0.2400000000000011, 0.005000000000000076, 0.005, 0.005)",0.4263648646150811,2023-11-11 12:33:59.586923
