n_combination,best_combination,best_portfolio_weights,min_volatility,timestamp
39,"('TTWO', 'INCY', 'LMT', 'HSY', 'CHRW', 'ROL', 'CME', 'HRL', 'DVA', 'DLTR', 'TSN', 'PFE', 'CAH', 'GIS', 'MRO', 'CI', 'VZ', 'DVN', 'BAX', 'VRTX', 'BG', 'KHC', 'LHX', 'AZO', 'OXY', 'TRV', 'TAP', 'LDOS', 'KMB', 'CTLT', 'CNC', 'LW', 'NOC', 'BMY', 'CF', 'HES', 'HUM', 'NEM', 'CL')","(0.03770990401031572, 0.05591409715696448, 0.0759189241983837, 0.005, 0.015356584938643201, 0.0050000000000000175, 0.11209583968022961, 0.07272793390149723, 0.045866814586711074, 0.005000000000000004, 0.009058233872127055, 0.005, 0.005, 0.05669618751631314, 0.005, 0.005000000000000015, 0.055933520258336596, 0.005000000000000005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.02345199143741686, 0.006248689906752671, 0.005, 0.12291917656473794, 0.005000000000000004, 0.005, 0.005000000000000002, 0.005000000000000002, 0.1494216686376031, 0.005000000000000007, 0.005, 0.00867463643913027, 0.01309465492038838, 0.028911141974448985)",0.1220707549477827,2023-11-10 19:02:07.548100
43,"('T', 'CVX', 'SEDG', 'VLO', 'HSY', 'ROL', 'UNH', 'LHX', 'PANW', 'LMT', 'EA', 'CHRW', 'GEN', 'JNJ', 'PGR', 'CI', 'K', 'LDOS', 'VZ', 'TTWO', 'ABBV', 'INCY', 'CME', 'XOM', 'MPC', 'HUM', 'MOH', 'CF', 'MRK', 'TRV', 'FSLR', 'TAP', 'MOS', 'PSX', 'CAG', 'KR', 'ELV', 'VRTX', 'CLX', 'NEM', 'EOG', 'LVS', 'CNC')","(0.005000000000000013, 0.005, 0.005000000000000017, 0.005, 0.013829167256469592, 0.0050000000000000175, 0.005, 0.005, 0.005, 0.052762477179059325, 0.08616428225108298, 0.03334743201367488, 0.007453594343481481, 0.1706719144499694, 0.005000000000000009, 0.005, 0.1505831165682636, 0.005, 0.03781507113546445, 0.005, 0.04581897162351308, 0.05625723964595633, 0.09001600547166048, 0.005, 0.005, 0.012226199646262216, 0.005, 0.005, 0.05110331374798584, 0.013448335310637867, 0.005, 0.005110109737409695, 0.005, 0.005, 0.005000000000000007, 0.01696179730867256, 0.005, 0.005000000000000001, 0.005, 0.01579038965516331, 0.005000000000000001, 0.015640582655272937, 0.005000000000000012)",0.1206245719366884,2023-11-10 19:04:22.044733
48,"('KMB', 'AZO', 'MO', 'D', 'T', 'TAP', 'K', 'MCK', 'AIZ', 'KR', 'BKR', 'VZ', 'ELV', 'UNH', 'MRNA', 'REGN', 'PFE', 'XOM', 'FSLR', 'DLTR', 'MPC', 'BG', 'LLY', 'PSX', 'CTRA', 'OXY', 'MKTX', 'CHD', 'DPZ', 'CF', 'VLO', 'MOH', 'LVS', 'CBOE', 'CAG', 'PANW', 'PXD', 'GIS', 'CHRW', 'MKC', 'GILD', 'TSN', 'FANG', 'CI', 'HRL', 'ORLY', 'TRV', 'MRK')","(0.12321973369954962, 0.005000000000000031, 0.07259167260428, 0.0050000000000000044, 0.005000000000000005, 0.005000000000000005, 0.050425348023646586, 0.05503150671315534, 0.019755878146440187, 0.005, 0.005, 0.060526081464757235, 0.005000000000000006, 0.005000000000000002, 0.005000000000000003, 0.006375852990763455, 0.008320579971926721, 0.005000000000000005, 0.006449069545426085, 0.005, 0.005000000000000004, 0.005000000000000003, 0.0050000000000000044, 0.005000000000000009, 0.005, 0.005, 0.013207082707759965, 0.005000000000000001, 0.019846523465078845, 0.005, 0.005000000000000001, 0.005, 0.016254783943331692, 0.12762428716908614, 0.005, 0.006261616390078003, 0.005, 0.0395033324258131, 0.01987228273599947, 0.005, 0.005, 0.016350971561912085, 0.005000000000000004, 0.005000000000000008, 0.06329440398311012, 0.005, 0.024713106612784693, 0.11037588584510055)",0.1233595501412423,2023-11-10 19:07:46.422342
50,"('ORLY', 'KR', 'LW', 'INCY', 'DLTR', 'CNC', 'PGR', 'SJM', 'PSX', 'UNH', 'T', 'MRK', 'CHRW', 'VRTX', 'HUM', 'HAL', 'TAP', 'JNJ', 'MPC', 'TTWO', 'CPB', 'PFE', 'CAG', 'AIZ', 'ROL', 'MKC', 'PANW', 'GEN', 'ED', 'AMGN', 'REGN', 'CVX', 'MO', 'NEM', 'EA', 'XOM', 'BAX', 'MKTX', 'ABBV', 'KMB', 'DG', 'COP', 'HES', 'ELV', 'VZ', 'LHX', 'WMT', 'CHD', 'FSLR', 'EG')","(0.017743225454189333, 0.005, 0.008509650654929236, 0.0439414687206342, 0.005, 0.0050000000000000105, 0.005000000000000079, 0.05189602031769055, 0.005045559034271793, 0.005, 0.0050000000000000044, 0.049872976627913145, 0.02935467830520614, 0.005, 0.020218011428889713, 0.005000000000000043, 0.005000000000000011, 0.15380850664871162, 0.005, 0.005, 0.023490331145063048, 0.005000000000000004, 0.005000000000000017, 0.03879063224583548, 0.005, 0.005000000000000009, 0.005, 0.005000000000000003, 0.005000000000000007, 0.02595983682698838, 0.005, 0.005, 0.05538492991615902, 0.02084198882302628, 0.09332991856419262, 0.005000000000000003, 0.005, 0.005000000000000004, 0.041544069260057645, 0.07005307387960627, 0.005000000000000007, 0.005, 0.005000000000000009, 0.0050000000000000105, 0.036046438525528454, 0.0065013827945969525, 0.05766730082651009, 0.005, 0.005000000000000004, 0.005)",0.121179844459132,2023-11-10 19:09:32.949934
21,"('AIZ', 'BAX', 'TTWO', 'CL', 'TRV', 'TAP', 'PXD', 'HUM', 'BMY', 'LMT', 'MKC', 'KMB', 'PGR', 'GILD', 'CVX', 'CBOE', 'K', 'COR', 'GIS', 'PSX', 'MRO')","(0.03491832311537634, 0.010000000000000007, 0.05224376829480017, 0.051307339413330315, 0.029811535877038477, 0.01270164142603887, 0.01, 0.03478764038647042, 0.16594204609638571, 0.07405696659561706, 0.01, 0.12273614048360657, 0.01, 0.01, 0.014608325076736796, 0.14231114351640628, 0.1036185837846995, 0.016787437444520107, 0.05585398740565687, 0.02831512108331667, 0.01)",0.1239854782766151,2023-11-10 19:10:20.154801
37,"('CBOE', 'BMY', 'HRL', 'AIZ', 'CAG', 'MKC', 'MCK', 'SLB', 'ABBV', 'BKR', 'TSN', 'CTRA', 'COP', 'DG', 'WMT', 'CME', 'KHC', 'OXY', 'GILD', 'CVS', 'DLTR', 'MPC', 'ORLY', 'MRNA', 'MO', 'ELV', 'K', 'VZ', 'EPAM', 'LW', 'BIIB', 'VLO', 'KMB', 'CVX', 'DVA', 'LMT', 'LHX')","(0.10114924464036246, 0.1263648059779648, 0.048365479564458184, 0.015544121211572908, 0.005, 0.005000000000000018, 0.022401321086067464, 0.005000000000000018, 0.03810453940848206, 0.005, 0.015759352562671393, 0.005000000000000001, 0.005, 0.005000000000000005, 0.061209680018548804, 0.07062714269143648, 0.005, 0.005000000000000006, 0.0050000000000000044, 0.005000000000000014, 0.005, 0.005000000000000003, 0.010164493364408347, 0.005, 0.04830681761522216, 0.005000000000000035, 0.059875283724041904, 0.05822829177148329, 0.005000000000000008, 0.005000000000000001, 0.0050000000000000235, 0.005, 0.10166997797243044, 0.0050000000000000105, 0.039606477751985385, 0.07762297063886382, 0.005)",0.1197732741246913,2023-11-10 19:13:45.891586
44,"('HAL', 'PSX', 'CHD', 'BG', 'AIZ', 'AMGN', 'VZ', 'BAX', 'DVA', 'UNH', 'BMY', 'SEDG', 'MO', 'PGR', 'CAH', 'CLX', 'KHC', 'FSLR', 'TSN', 'MRK', 'EG', 'MKTX', 'AZO', 'VRTX', 'MOH', 'TRV', 'REGN', 'GIS', 'CME', 'LHX', 'MPC', 'KMB', 'TAP', 'MCK', 'TTWO', 'CVS', 'HUM', 'SLB', 'KR', 'ROL', 'JNJ', 'PFE', 'LW', 'DVN')","(0.005000000000000005, 0.020104864919084055, 0.005, 0.011108811950673026, 0.019953010061524834, 0.03885695528068093, 0.05046307208516162, 0.005000000000000003, 0.037451387449010345, 0.005000000000000002, 0.09532713178721937, 0.005, 0.05411046566062073, 0.0050000000000000175, 0.005000000000000009, 0.005000000000000005, 0.005119434988565258, 0.005071017583723017, 0.02343489813733852, 0.0445108746487365, 0.005, 0.005, 0.005000000000000003, 0.005, 0.005000000000000002, 0.005000000000000002, 0.005000000000000021, 0.07476602905119814, 0.09431566613271208, 0.0050000000000000044, 0.005, 0.1047802793153925, 0.005, 0.017315547895609285, 0.03721869149243651, 0.005, 0.005, 0.005, 0.011372168150928747, 0.005, 0.12971969340938466, 0.005, 0.005, 0.005000000000000017)",0.1208184512797479,2023-11-10 19:17:34.325771
45,"('HSY', 'CME', 'ED', 'CVS', 'TRV', 'ROL', 'DLTR', 'AZO', 'EA', 'LLY', 'SLB', 'GIS', 'FSLR', 'CNC', 'CLX', 'CBOE', 'LHX', 'NEM', 'MRK', 'CAG', 'CHD', 'PSX', 'HES', 'BKR', 'WMT', 'SEDG', 'MPC', 'NOC', 'ELV', 'PXD', 'CHRW', 'XOM', 'T', 'ABBV', 'PFE', 'INCY', 'CTLT', 'GILD', 'BMY', 'TTWO', 'OXY', 'MCK', 'KHC', 'CL', 'CTRA')","(0.00817426184592715, 0.056595267249082024, 0.005000000000000014, 0.005, 0.02600359929711942, 0.005, 0.005000000000000023, 0.005, 0.08919833571881208, 0.005000000000000002, 0.005, 0.08966491749603317, 0.00500000000000001, 0.005, 0.005, 0.08224501079776536, 0.005000000000000004, 0.017145395668066412, 0.05708635927058877, 0.005000000000000007, 0.006159118940115551, 0.005, 0.005, 0.005, 0.07484804170339218, 0.005, 0.005, 0.005000000000000001, 0.005000000000000029, 0.005, 0.03252758905589119, 0.0050000000000000044, 0.01833800758651431, 0.04458711918191639, 0.005000000000000008, 0.0368894913690116, 0.005, 0.005000000000000008, 0.10298243831952927, 0.0064995888802996124, 0.005, 0.03583822108201741, 0.029653963069950932, 0.05556327346796709, 0.005000000000000021)",0.121625165039253,2023-11-10 19:18:16.085868
16,"('LDOS', 'FSLR', 'PXD', 'JNJ', 'MOH', 'VZ', 'OXY', 'HUM', 'CME', 'LVS', 'HRL', 'CBOE', 'KR', 'D', 'ORLY', 'ABBV')","(0.017953620576039973, 0.01563151759791435, 0.02630472572217953, 0.2541605312758197, 0.010000000000000002, 0.08878948619231468, 0.010000000000000007, 0.02544432530956365, 0.06909183460258267, 0.03127702882564124, 0.13654962951699234, 0.11967657258695882, 0.04868572696371658, 0.010000000000000004, 0.047614065000566946, 0.08882093582970933)",0.1243521434944686,2023-11-10 19:28:47.928788
19,"('KHC', 'AZO', 'NEM', 'CBOE', 'CF', 'LMT', 'HUM', 'AIZ', 'CI', 'MKTX', 'MPC', 'VZ', 'PSX', 'D', 'MRK', 'DVA', 'WMT', 'VLO', 'DLTR')","(0.09705709708246939, 0.01000000000000001, 0.02083279078635392, 0.152680379982653, 0.01, 0.13000243482296858, 0.028996488449691604, 0.03902363423533849, 0.01, 0.02698569394227876, 0.01, 0.0956339285626789, 0.01, 0.010000000000000002, 0.16180590780574958, 0.05285368931120406, 0.11412795501861377, 0.010000000000000002, 0.010000000000000002)",0.1263769436347094,2023-11-10 19:28:59.932599
